uid	gender	age	city	state	country	ethnicity
6300722821230638959	female	23.0	x	x	Philippines	asian
-3117343371830076595	x	x	x	x	x	x
-3985461183024507210	male	37.0	x	Florida	United States	white
-6314470502565863845	x	x	x	x	x	x
-3222334683775418339	female	24.0	Austin	Texas	United States	white
306865450253056392	male	45.0	x	x	x	hispanic
2009661169801264873	male	x	Gardner	Kansas	United States	white
4926862304955734550	female	15.0	Portland	Oregon	United States	white
1434420041018294063	male	29.0	x	Texas	United States	hispanic
-871911291207819345	female	24.0	Manchester	England	United Kingdom	white
6842030800511134678	male	x	East Lansing	Michigan	United States	white
-2076407295395383743	male	31.0	x	x	Indonesia	white
253788486282916451	x	x	Huntsville	Alabama	United States	x
2782353839155128843	x	x	Lagos	Lagos	Nigeria	x
-2912193299656112715	male	25.0	Riyadh	Riyadh Province	Saudi Arabia	hispanic
7324508206422619849	x	x	x	x	x	x
-5618496479758286394	female	23.0	x	x	x	white
-1622639447670985380	x	x	x	x	x	x
-7760220323150347468	female	19.0	x	x	x	white
-7951695650309055843	x	x	Kandy	Central Province	Sri Lanka	x
4671300170705197908	male	37.0	Berlin	Berlin	Germany	white
-8278805507273058062	female	31.0	Manchester	England	United Kingdom	white
8738561242799125140	x	x	x	x	Germany	x
-5964842917578997750	x	x	x	x	x	x
-595157793668993804	x	x	x	New York	United States	x
-6464091815208086576	male	x	x	Virginia	United States	black
-2764521873890174612	female	27.0	x	x	x	black
5888952339894435155	male	41.0	Liverpool	England	United Kingdom	white
-9096314913190187163	x	x	x	x	Egypt	x
-8357001155208860386	x	x	Little Rock	Arkansas	United States	x
4458176089204104319	female	34.0	Canberra	Australian Capital Territory	Australia	white
6466476271006310610	male	37.0	North Bellmore	New York	United States	black
-1562698705610876141	x	x	Miami	Florida	United States	x
-826822940354717824	male	56.0	x	x	United Kingdom	white
830869191711493644	female	26.0	Kansas City	Missouri	United States	white
-7423364669993065416	male	51.0	Chicago	Illinois	United States	asian
-884818572204085121	x	x	Buckeye	Arizona	United States	x
3313373251887601973	female	18.0	x	x	x	white
230495833777229016	male	66.0	Brisbane	Queensland	Australia	white
-4356760142771972417	male	x	x	Missouri	United States	black
869791267464421419	male	31.0	x	x	x	white
-410280774819762683	male	22.0	Norfolk	Virginia	United States	black
5629351126163060049	female	22.0	Brisbane	Queensland	Australia	white
