uid	gender	age	city	state	country	ethnicity
-739667596465878860	x	x	x	State of Pernambuco	Brazil	x
-5136773829572647558	male	78.0	Washington	District of Columbia	United States	white
-8657011915761429557	female	33.0	x	x	x	white
2336148634969132413	x	x	x	x	x	x
-6203634820442426346	female	20.0	x	State of Rio de Janeiro	Brazil	black
8240701253861744309	female	25.0	x	x	x	white
-3132070656298937003	x	x	x	x	Brazil	x
5916447803697704265	x	x	Alexandria	Alexandria Governorate	Egypt	x
-2736930780731575413	x	x	x	x	x	x
-6995388079591232077	x	x	Óbidos Municipality	Leiria District	Portugal	x
6462340367771503424	male	63.0	x	x	x	white
-9151645385588220111	male	71.0	Rio de Janeiro	State of Rio de Janeiro	Brazil	white
-9011046362816720407	male	28.0	x	x	x	latino
-6810474050918591701	male	36.0	Riyadh	Riyadh Province	Saudi Arabia	white
738371195221600315	x	x	x	x	x	x
6163410841839778583	male	57.0	Lisbon	Lisbon	Portugal	white
1856488424970754254	male	19.0	x	State of Rio Grande do Sul	Brazil	white
-3928076704340159766	x	x	São Paulo	State of São Paulo	Brazil	x
2826762547974122506	x	x	x	x	x	x
-368160961790916074	male	43.0	São Paulo	State of São Paulo	Brazil	latino
-7708021894601571055	female	20.0	x	x	x	black
8926375533199813571	x	x	Coimbra	Coimbra District	Portugal	x
2056118684949884877	x	x	x	x	Portugal	x
5823872688582849503	male	52.0	x	x	x	white
-972166743034798079	male	41.0	x	x	x	white
6856802617086785238	x	x	Philadelphia	Pennsylvania	United States	x
-7549548326326448134	male	56.0	x	x	x	white
4631938766252547641	x	x	x	x	x	x
4744771290131755842	male	28.0	Pelotas	State of Rio Grande do Sul	Brazil	black
283532788548163358	female	20.0	x	x	x	white
-3947408803595173600	female	27.0	x	Georgia	United States	latino
-7694080382002770638	x	x	x	x	Brazil	x
5590354304791012457	x	x	x	x	x	x
-726474973343590291	x	x	Porto	Porto District	Portugal	x
1648299654059811125	x	x	x	x	x	x
3949814692693284255	female	24.0	Coimbra	Coimbra District	Portugal	latino
2535211435112840130	x	x	Rio de Janeiro	 Brazil	Brazil	x
-1675929139011108972	male	48.0	Illinois	 USA	United States	latino
-2643849968407265029	male	23.0	x	x	x	white
-6097746656062200298	female	28.0	x	x	x	white
-833449443658496197	x	x	x	x	x	x
7491296927283478756	female	17.0	São Paulo	State of São Paulo	Brazil	white
-2952696852691584152	x	x	x	x	x	x
-1763803767249121439	male	30.0	x	x	x	white
3402272518553453821	female	29.0	x	State of São Paulo	Brazil	latino
8200973340447864606	x	x	x	x	x	x
3415921854792475718	x	x	Bedford	Texas	United States	x
3026021965710014459	female	20.0	x	Rio de Janeiro	Brazil	white
8581737597628211791	female	20.0	Toronto	Ontario	Canada	black
-9122511912520118290	male	24.0	Nova Iguaçu	State of Rio de Janeiro	Brazil	black
-6564544938815850562	male	31.0	Bristol	England	United Kingdom	black
8317056841179011726	female	24.0	x	x	x	white
-7756066814007993010	male	23.0	x	x	Brazil	white
2616742979308795567	x	x	x	x	United Kingdom	x
7493395966904676119	x	x	Lisbon	Lisbon	Portugal	x
1966720460841625265	female	21.0	x	South Carolina	United States	white
2937203573080699055	male	51.0	x	x	Brazil	latino
8463053111090873429	x	x	x	x	Brazil	x
-2265977410651648483	male	28.0	x	x	Angola	black
8102796267523244760	female	24.0	x	x	x	white
-8303258688184578146	male	27.0	Rio de Janeiro	 Brazil	Brazil	white
8219664719522410094	female	21.0	New York	New York	United States	white
-6332811597478721019	female	62.0	São José	 Santa Catarina	Brazil	white
4611976730561981754	male	18.0	Miami	Florida	United States	white
76168388279471093	male	45.0	New York	New York	United States	black
5284102125289875362	female	29.0	x	State of Rio Grande do Sul	Brazil	white
