uid	gender	age	city	state	country	ethnicity
1933186429172291743	male	23.0	x	x	x	latino
5644587559773898565	x	x	x	x	x	x
-6803130771992488307	male	21.0	x	x	x	asian
479904774508805628	male	43.0	Madrid	 Spain	Spain	white
924297483013401559	x	x	x	x	x	x
6419046063387390227	x	x	x	x	x	x
-1055155378544796358	male	30.0	x	x	x	white
6255412427754926328	female	24.0	Santa Fe	Santa Fe Province	Argentina	latino
730048665242449977	female	21.0	Leavenworth	Kansas	United States	white
4618535844610877882	female	59.0	x	x	x	white
5438572190757877761	male	41.0	x	x	x	black
2651455532505821489	female	24.0	x	x	x	white
-8597270458511422384	x	x	Omsk	Omsk Oblast	Russia	x
5416720854674431579	x	x	x	x	x	x
-8419116287671991501	x	x	x	x	x	x
-8981245725827415644	female	22.0	x	Baja California	Mexico	white
1251246621292794012	x	x	x	x	x	x
9220105343644098858	male	26.0	Mexico City	Mexico City	Mexico	latino
8470445629906838654	male	65.0	Almería	Andalusia	Spain	black
-7120289628694403280	x	x	x	x	Chile	x
867073233282038487	x	x	x	x	x	x
-4540901197906674316	female	48.0	Madrid	Community of Madrid	Spain	black
3115158104637407543	female	39.0	Barcelona	Catalonia	Spain	white
-1958994435843495232	x	x	x	x	x	x
4538418849643790849	x	x	x	x	x	x
-8398024541103400006	male	33.0	Los Tacos Del Güero	x	Mexico	latino
1810441821460896622	x	x	x	x	x	x
-1928990002228689639	male	50.0	x	x	Argentina	white
6895851904369057025	male	41.0	x	x	x	white
6308701418933587984	male	24.0	x	Entre Rios	Argentina	white
-855522904326519428	x	x	Hellín	 España	Spain	x
7636179534634811058	x	x	x	x	x	x
2586515313202958145	x	x	x	x	x	x
-196321554610314831	male	19.0	Seville	Andalusia	Spain	black
-2153173547084230356	x	x	Philadelphia	Pennsylvania	United States	x
4979935813370246675	x	x	Puebla	Puebla	Mexico	x
-4666451296509192462	x	x	Chouteau	Oklahoma	United States	x
2853547736375717432	male	47.0	Madrid	Community of Madrid	Spain	latino
5833131019600574559	female	19.0	x	x	x	white
-4103666808154051391	male	37.0	x	x	x	black
