uid	gender	age	city	state	country	ethnicity
6300722821230638959	1	1	x	x	0	1
-3117343371830076595	x	x	x	x	x	x
-3985461183024507210	0	0	x	Florida	1	0
-6314470502565863845	x	x	x	x	x	x
-3222334683775418339	1	1	Austin	Texas	1	0
306865450253056392	0	0	x	x	x	1
2009661169801264873	0	x	Gardner	Kansas	1	0
4926862304955734550	1	1	Portland	Oregon	1	0
1434420041018294063	0	1	x	Texas	1	1
-871911291207819345	1	1	Manchester	England	0	0
6842030800511134678	0	x	East Lansing	Michigan	1	0
-2076407295395383743	0	0	x	x	0	0
253788486282916451	x	x	Huntsville	Alabama	1	x
2782353839155128843	x	x	Lagos	Lagos	0	x
-2912193299656112715	0	1	Riyadh	Riyadh Province	0	1
7324508206422619849	x	x	x	x	x	x
-5618496479758286394	1	1	x	x	x	0
-1622639447670985380	x	x	x	x	x	x
-7760220323150347468	1	1	x	x	x	0
-7951695650309055843	x	x	Kandy	Central Province	0	x
4671300170705197908	0	0	Berlin	Berlin	0	0
-8278805507273058062	1	0	Manchester	England	0	0
8738561242799125140	x	x	x	x	0	x
-5964842917578997750	x	x	x	x	x	x
-595157793668993804	x	x	x	New York	1	x
-6464091815208086576	0	x	x	Virginia	1	1
-2764521873890174612	1	1	x	x	x	1
5888952339894435155	0	0	Liverpool	England	0	0
-9096314913190187163	x	x	x	x	0	x
-8357001155208860386	x	x	Little Rock	Arkansas	1	x
4458176089204104319	1	0	Canberra	Australian Capital Territory	0	0
6466476271006310610	0	0	North Bellmore	New York	1	1
-1562698705610876141	x	x	Miami	Florida	1	x
-826822940354717824	0	0	x	x	0	0
830869191711493644	1	1	Kansas City	Missouri	1	0
-7423364669993065416	0	0	Chicago	Illinois	1	1
-884818572204085121	x	x	Buckeye	Arizona	1	x
3313373251887601973	1	1	x	x	x	0
230495833777229016	0	0	Brisbane	Queensland	0	0
-4356760142771972417	0	x	x	Missouri	1	1
869791267464421419	0	0	x	x	x	0
-410280774819762683	0	1	Norfolk	Virginia	1	1
5629351126163060049	1	1	Brisbane	Queensland	0	0
-3941116468337608756	x	x	Hermosa Beach	California	1	x
224423730501018809	x	x	Carlsbad	California	1	x
1490998502378968723	x	x	x	x	x	x
6234432326391461392	0	0	Burwell	England	0	1
-4403522033344331460	0	1	Jersey City	New Jersey	1	1
7537944622350464300	1	x	San Francisco	California	1	0
-1254980546469123311	x	x	x	x	0	x
-5044788246776392663	1	1	Baton Rouge	Louisiana	1	1
761040087964497258	0	x	Calabasas	California	1	1
-7683450982301782509	1	1	x	Victoria	0	0
1197764315586063975	1	0	x	x	1	0
7666307194426145045	x	x	Carlisle	England	0	x
881670735204572305	0	1	x	x	x	0
-9013662223232853642	1	0	x	x	x	0
5590155176174373833	0	1	Philadelphia	Pennsylvania	1	1
6217037925032788038	1	1	x	x	0	0
7022484044769761203	x	x	x	x	x	x
-1459929262887170431	1	1	x	Texas	1	0
-8006189089666688046	x	x	x	x	x	x
-2939566737775866763	1	1	Salisbury	England	0	0
4263469471707133917	0	0	White Plains	New York	1	1
6155406051147454747	0	0	Chesterfield	England	0	0
2768197385845902340	0	0	x	x	x	0
2118157538123820250	0	0	Austin	Texas	1	0
4820150908137615476	1	1	x	x	0	1
-7274489117914956211	0	0	x	x	x	0
-4905633176379587837	x	x	x	x	1	x
-6951462512047990665	x	x	x	x	x	x
-4701832035593746550	1	1	x	x	x	0
3376195631984196152	1	1	Santa Maria da Feira	Aveiro District	0	0
-7895329447001361269	0	1	x	x	x	0
-930460051827908765	1	0	New York	New York	1	0
3124997209262045582	x	x	x	x	0	x
8076056773283006855	1	1	Charleston	West Virginia	1	1
-3932417153783624408	0	0	Cherry Hill	New Jersey	1	0
7241079524388208239	0	0	DFW Airport	Texas	1	0
-7144298678220120334	1	1	Annapolis	Maryland	1	0
4281497359596160399	x	x	x	x	x	x
7177815255829605725	0	x	Mesa	Arizona	1	1
