uid	gender	age	city	state	country	ethnicity
4149308855696923796	x	x	x	Lesser Poland Voivodeship	1	x
-6883528428632957456	1	1	x	x	x	1
4756326747970055695	0	0	x	x	x	0
1483962902744798158	0	x	x	x	x	x
-8305065055084640059	1	1	Warsaw	Masovian Voivodeship	1	0
-1891029395597084473	0	1	Bialystok	Podlaskie Voivodeship	1	0
-853612404174922601	1	1	x	x	x	0
6803181416508891510	0	0	x	x	x	0
-7469292299329137016	x	x	x	x	x	x
8044369887692815341	0	x	x	x	x	x
1315761666455837539	x	x	x	x	x	x
-6704503607008694065	1	1	x	x	x	0
-4732951116251844417	0	1	x	x	x	0
-8765070445082578191	x	x	x	x	x	x
336902411255056325	1	1	x	x	x	0
-3874276722474973536	0	0	x	x	x	0
1505946470259063075	0	x	x	x	1	x
-4110695234504564150	1	1	x	x	x	1
1428770462116595305	0	0	Warsaw	Masovian Voivodeship	1	0
-3537198772591728549	1	0	x	x	1	1
-4118945121790326422	0	0	East	 England	0	0
8673854640612010977	0	1	Los Angeles	California	0	0
5648039441748314291	0	0	x	x	x	0
-8305873702053448852	0	x	Szczecin	 Poland	1	x
-3316923879652209163	1	1	x	Lesser Poland Voivodeship	1	0
-4221041599351081384	0	0	x	x	x	0
4170745961069029242	1	0	x	Pomeranian Voivodeship	1	0
-1644718280004576366	0	0	Zawiercie	Silesian Voivodeship	1	0
-4126339953321787365	0	1	Dubai	Dubai	0	0
894388992461093279	0	1	x	x	x	0
-7063099778832579465	1	1	Gdynia	Pomeranian Voivodeship	1	0
3747479750667344269	x	x	Siemianowice Slaskie	Silesian Voivodeship	1	x
9081570490972106398	0	1	Warsaw	Masovian Voivodeship	1	0
-1996514558814925088	0	0	Lasa Shi	Xizang Zizhiqu	0	0
-2123370307432637893	0	x	x	x	x	x
2422903228089106393	1	1	x	x	x	0
-541628080173269699	1	x	x	x	x	x
-3094620775224874462	0	1	Kluczbork	opolskie	1	0
1559168184444500307	0	1	Warsaw	Masovian Voivodeship	1	0
-7398931755197662908	0	x	Siedlce	Masovian Voivodeship	1	x
4868179584948569658	0	0	Johor Bahru	Johor	0	0
-1229723834904582674	0	0	Hell	Michigan	0	0
-4624793360174034860	0	0	x	x	x	0
-5142040391346260765	0	0	x	x	1	0
-3908851186725492140	0	0	x	x	x	0
1257610480176416344	0	0	Frankfurt	Hesse	0	0
4788509088180397538	x	x	x	x	x	x
6423482386208307486	x	x	Warsaw	Masovian Voivodeship	1	x
6929950200791593625	0	0	x	x	1	0
2865674598176086181	0	0	Poznań	Greater Poland Voivodeship	1	0
-391041913216280688	1	x	x	x	x	x
-8395929306709532965	0	1	x	x	x	0
4882305195922461803	1	1	x	x	1	1
-5266749165867658265	x	x	x	x	x	x
-9030772349343299300	x	x	Lublin	Lublin Voivodeship	1	x
2465148877738142218	0	1	x	x	x	1
8518726502301296522	x	x	x	x	x	x
-2315250408927730346	0	0	x	x	x	0
-8975500923800940700	0	x	Warsaw	Masovian Voivodeship	1	x
4017399415915278841	0	x	x	x	x	x
870407952793811047	0	x	Bielsko-Biala	Silesian Voivodeship	1	x
942458165151313617	0	0	Gdańsk	Pomeranian Voivodeship	1	0
-2825621726089908560	1	1	x	x	x	0
-5917754118899005090	0	0	Kraków	Lesser Poland Voivodeship	1	0
5790897572322047595	0	0	x	x	1	0
-6847454285909304227	0	0	Aarhus	x	0	0
2257563849274980904	0	1	x	x	x	0
7650652792507462851	1	x	x	x	1	x
-4003887981469776919	x	x	x	x	1	x
5581158999977112784	0	0	Warsaw	 Poland	1	0
3762649170308714205	1	1	x	West Pomeranian Voivodeship	1	0
5167080152315137512	0	1	x	x	x	0
7668240787642502726	x	x	x	Greater Poland Voivodeship	1	x
7060080951166582957	1	x	x	x	x	x
-8951850227344404314	1	1	x	x	x	0
1329697890336666612	0	0	Warsaw	 Poland	1	0
6916583237591369272	1	0	x	x	1	0
7992006528058113834	0	x	x	x	x	x
4328212567189839866	1	1	x	x	x	0
6811289681056125402	0	x	x	x	x	x
8405700536374414913	0	1	x	x	x	0
-1059818598919578999	0	0	x	x	x	0
-7753293242577984341	1	x	Warsaw	Masovian Voivodeship	1	x
-6613994501204338325	1	x	x	x	x	x
-4444898081741398278	0	1	x	x	0	0
5293714330343645339	1	1	x	x	x	1
