uid	gender	age	city	state	country	ethnicity
-739667596465878860	x	x	x	State of Pernambuco	1	x
-5136773829572647558	0	0	Washington	District of Columbia	0	0
-8657011915761429557	1	0	x	x	x	0
2336148634969132413	x	x	x	x	x	x
-6203634820442426346	1	1	x	State of Rio de Janeiro	1	1
8240701253861744309	1	1	x	x	x	0
-3132070656298937003	x	x	x	x	1	x
5916447803697704265	x	x	Alexandria	Alexandria Governorate	0	x
-2736930780731575413	x	x	x	x	x	x
-6995388079591232077	x	x	Óbidos Municipality	Leiria District	0	x
6462340367771503424	0	0	x	x	x	0
-9151645385588220111	0	0	Rio de Janeiro	State of Rio de Janeiro	1	0
-9011046362816720407	0	0	x	x	x	1
-6810474050918591701	0	0	Riyadh	Riyadh Province	0	0
738371195221600315	x	x	x	x	x	x
6163410841839778583	0	0	Lisbon	Lisbon	0	0
1856488424970754254	0	1	x	State of Rio Grande do Sul	1	0
-3928076704340159766	x	x	São Paulo	State of São Paulo	1	x
2826762547974122506	x	x	x	x	x	x
-368160961790916074	0	0	São Paulo	State of São Paulo	1	1
-7708021894601571055	1	1	x	x	x	1
8926375533199813571	x	x	Coimbra	Coimbra District	0	x
2056118684949884877	x	x	x	x	0	x
5823872688582849503	0	0	x	x	x	0
-972166743034798079	0	0	x	x	x	0
6856802617086785238	x	x	Philadelphia	Pennsylvania	0	x
-7549548326326448134	0	0	x	x	x	0
4631938766252547641	x	x	x	x	x	x
4744771290131755842	0	0	Pelotas	State of Rio Grande do Sul	1	1
283532788548163358	1	1	x	x	x	0
-3947408803595173600	1	0	x	Georgia	0	1
-7694080382002770638	x	x	x	x	1	x
5590354304791012457	x	x	x	x	x	x
-726474973343590291	x	x	Porto	Porto District	0	x
1648299654059811125	x	x	x	x	x	x
3949814692693284255	1	1	Coimbra	Coimbra District	0	1
2535211435112840130	x	x	Rio de Janeiro	 Brazil	1	x
-1675929139011108972	0	0	Illinois	 USA	0	1
-2643849968407265029	0	1	x	x	x	0
