uid	gender	age	city	state	country	ethnicity
1933186429172291743	0	1	x	x	x	1
5644587559773898565	x	x	x	x	x	x
-6803130771992488307	0	1	x	x	x	1
479904774508805628	0	0	Madrid	 Spain	1	0
924297483013401559	x	x	x	x	x	x
6419046063387390227	x	x	x	x	x	x
-1055155378544796358	0	0	x	x	x	0
6255412427754926328	1	1	Santa Fe	Santa Fe Province	0	1
730048665242449977	1	1	Leavenworth	Kansas	0	0
4618535844610877882	1	0	x	x	x	0
5438572190757877761	0	0	x	x	x	1
2651455532505821489	1	1	x	x	x	0
-8597270458511422384	x	x	Omsk	Omsk Oblast	0	x
5416720854674431579	x	x	x	x	x	x
-8419116287671991501	x	x	x	x	x	x
-8981245725827415644	1	1	x	Baja California	0	0
1251246621292794012	x	x	x	x	x	x
9220105343644098858	0	1	Mexico City	Mexico City	0	1
8470445629906838654	0	0	Almería	Andalusia	1	1
-7120289628694403280	x	x	x	x	0	x
867073233282038487	x	x	x	x	x	x
-4540901197906674316	1	0	Madrid	Community of Madrid	1	1
3115158104637407543	1	0	Barcelona	Catalonia	1	0
-1958994435843495232	x	x	x	x	x	x
4538418849643790849	x	x	x	x	x	x
-8398024541103400006	0	0	Los Tacos Del Güero	x	0	1
1810441821460896622	x	x	x	x	x	x
-1928990002228689639	0	0	x	x	0	0
6895851904369057025	0	0	x	x	x	0
6308701418933587984	0	1	x	Entre Rios	0	0
-855522904326519428	x	x	Hellín	 España	1	x
7636179534634811058	x	x	x	x	x	x
2586515313202958145	x	x	x	x	x	x
-196321554610314831	0	1	Seville	Andalusia	1	1
-2153173547084230356	x	x	Philadelphia	Pennsylvania	0	x
4979935813370246675	x	x	Puebla	Puebla	0	x
-4666451296509192462	x	x	Chouteau	Oklahoma	0	x
2853547736375717432	0	0	Madrid	Community of Madrid	1	1
5833131019600574559	1	1	x	x	x	0
-4103666808154051391	0	0	x	x	x	1
-5918361425060814405	1	1	x	x	x	1
9096100881177986696	x	x	x	x	x	x
-2619244591065155243	x	x	Gardena	California	0	x
-4268784240886800076	1	1	Buenos Aires	Buenos Aires	0	0
-6479253273228916921	0	1	x	x	x	0
-4246334104790366076	0	1	x	x	0	1
-8739185489305522522	1	1	x	x	1	1
-5110043953208711250	1	0	Seville	Andalusia	1	0
1576412364298508789	1	0	x	x	x	0
4920439598478368568	1	0	x	x	0	0
8431910301467813743	1	0	Lehi	Utah	0	1
-8388205006428432404	0	1	Orizaba	Veracruz	0	1
3377425965911244381	x	x	x	x	0	x
