tid	uid	text	date	gender	age	city	state	country	ethnicity	label
-5847823236828336665	-8301911615295511466	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 27 663 9 41 12 17 5526 7 1778 5 87 36 10 835 1027 56 1164 2153	2016-11-29	x	x	Tulsa	Oklahoma	0	x	0
4604108925449726405	-4252304313036571116	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 325 145 172 7 31 1028 80 326 479 41 12 4 37 436 1 2	2016-12-17	x	x	x	x	1	x	0
1126446145273725508	7748457083300886711	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 55 708 13 437 95 74 12 63 836 9 534 13 480 205 1 37 3	2016-11-24	0	1	x	x	x	0	0
4553867538716487051	8061566579255894248	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 12 23 11 770 297 8 22 621 4 3540 5527 1525 5 5528 72 771 2666	2017-2-14	x	x	x	x	x	x	0
5383861319846386436	6249886768910330410	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 2 49 16 351 2154 7 215 505 5 2154 462 317 25 194 45 12 1779 837 10 3541 5529 3	2017-3-27	x	x	x	x	x	x	0
2501188395747230872	-8124536831203279123	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 256 15 409 438 34 1780 55 11 409 3542 35 1526 4 12 5 384 63 1	2017-1-26	0	1	x	x	x	0	0
-3387216412540799102	-7069429652389550620	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 46 180 25 2667 27 14 67 13 6 74 12 27 13 6 3543 4 31 1165 351	2016-12-31	x	x	x	x	1	x	1
-5879943113048210829	6431166374515799551	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 562 3544 18 1781 10 2668 25 12 10 23 25 1782 10 2155 271 439 5 772 194	2017-3-6	x	x	Lecce	Apulia	1	x	0
-9118558674034711861	-8273944920144990176	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 440 256 15 409 392 318 12 5530 5 3545 2669 4 2670 1	2017-1-28	x	x	Vatican City	x	0	x	0
5193314877696669851	-3926497687500147680	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1317 4 1318 36 337 13 2156 2157 26 5531 622 159 12 1 1	2016-10-3	x	x	x	x	1	x	0
-1342209830874662084	-8066894623594506866	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 292 5532 1527 173 664 13 393 44 12 77 23 24 2158 10 54 107 1783 6 352 119 1319 7 146 3546 75	2017-4-20	x	x	x	x	x	x	0
-4368752868166675170	-2326481921437221139	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 1166 1318 337 13 2156 2157 622 159 12 198 137 12 4 480 19 1	2016-10-3	x	x	Tulsa	Oklahoma	0	x	0
4365266340502100801	-8849569227659039306	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 147 915 4 838 24 441 66 773 1784 215 709 34 41 12 4 710 1 3	2017-1-27	x	x	x	x	x	x	0
4876591958758810227	-7866938202808712159	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1320 3547 410 563 104 74 12 481 188 916 10 112 305 49	2017-3-16	1	0	Noto	 Sicily	1	0	0
892794314930368963	-8022800630681229800	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 1321 12 1167 8 1029 5533 29 772 174 55 711 564 161 16 19 1 3	2017-2-24	x	x	x	x	x	x	0
-5556522568464612566	2862826057228094031	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 257 15 127 34 41 50 917 25 1785 506 1168 1322 3548 463 15 127 1	2016-11-18	x	x	x	x	x	x	0
-8386067567090075019	4927281169635241793	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2671 2672 38 5534 11 5535 11 195 11 263 1030 21 6 12 442 73 67 24 61 3	2017-2-27	x	x	x	x	x	x	0
-474959853232168331	-3944870980863195888	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2673 32 839 535 7 31 36 1786 1169 2159 13 6 12 3 918 29 5536 2 1	2017-1-18	1	0	x	x	x	0	0
-5554459377613259522	1360395965171952765	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1170 8 16 41 50 26 3549 9 665 35 41 4 3550 1	2017-2-23	x	x	Trento	Trentino-South Tyrol	1	x	0
972581413555355730	-610451417532972275	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 464 5537 282 712 1323 7 31 27 28 11 306 244 774 114 12 162 5538	2016-12-11	0	0	Ariccia	 Lazio	1	0	0
2359562250948675457	4487147422386788317	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 307 298 2674 1031 173 34 188 7 2675 13 5539 41 12 2160 19 1 37 3	2017-3-28	x	x	x	x	x	x	0
-7810148013521692868	-3107048971969067489	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2161 13 76 80 465 88 6 12 1787 9 1788 15 337 145 1	2016-12-19	x	x	Tulsa	Oklahoma	0	x	0
6169092124232236923	6158204332669176101	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 9 840 11 5540 2162 1789 12 5541 130 127 1	2017-4-10	x	x	x	x	x	x	0
-7926871604813595995	5770686110721052045	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 12 507 239 3551 58 5542 5543 5544 35 5545 27 14 1790 92 841 482 5546 98 7 19 1	2017-2-24	0	1	Tulsa	Oklahoma	0	0	0
-9205251077267582444	-9049621434454581985	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 6 12 5 24 1324 9 199 1528 17 11 1325 214 5547 2676 1325	2017-2-12	1	1	Philadelphia	Pennsylvania	0	0	0
6085867708248139320	5953127308934713569	0 0 0 0 0 0 0 0 0 0 0 0 0 1791 9 1032 8 16 41 12 27 25 1326 54 666 45 50 109 81 120 71 124 17 59 42 22 55 268 63 1	2017-1-19	x	x	Tulsa	Oklahoma	0	x	0
1732781223897802055	7455633388740654089	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 199 41 50 5548 72 2677 15 2678 5 35 216 2 1	2017-4-21	x	x	x	x	x	x	0
