tid	uid	text	date	gender	age	city	state	country	ethnicity	label
-1185049339940485547	4149308855696923796	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 244 42 2336 1698 23 51 5 307 6 1086	2017-12-15	x	x	x	Lesser Poland Voivodeship	1	x	0
-8872930230589205502	4756326747970055695	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 259 165 765 10002 1492 5 10003 10004 15 10005 895	2018-2-17	0	0	x	x	x	0	0
7551884024024539484	-1891029395597084473	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 210 1493 1494 2 156	2018-9-24	0	1	Bialystok	Podlaskie Voivodeship	1	0	0
-6327275497223818729	1483962902744798158	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10006 5454 10007 1699 41 194	2018-11-16	0	x	x	x	x	x	0
-4744443896691748719	-853612404174922601	0 0 0 0 0 0 0 0 0 0 0 0 0 0 129 109 55 633 766 896 10 10008 7 5 112 551 1338 6 3 897 6 20 2337 2338 35 2339 4 634 821 72	2018-9-19	1	1	x	x	x	0	0
4750532433216928404	-8305065055084640059	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 30 2 23 73 144 1339 70	2018-2-12	1	1	Warsaw	Masovian Voivodeship	1	0	0
-8826389221555160994	-853612404174922601	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 348 481 19 10009 2 635 72	2018-8-10	1	1	x	x	x	0	0
-9093570697003889266	-6883528428632957456	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3813 150 15 413 28 150 5455 14 2910 8 431 7 414 2 10010	2018-6-14	1	1	x	x	x	1	0
-1726613474900408130	4756326747970055695	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 80 13 1 5456 86 10011 6 10012 5457 1	2018-11-11	0	0	x	x	x	0	1
-6786546856081213740	-6883528428632957456	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 30 41 531	2015-9-1	1	1	x	x	x	1	0
