tid	uid	text	date	gender	age	city	state	country	ethnicity	label
-8030136833725217978	-1958994435843495232	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4360 234 1981 12 2701 1 92 4361 1526 46 31 4362 12 1263 4	2015-10-15	x	x	x	x	x	x	1
2727642048186975172	6774332719469904360	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 170 368 1527 15 1528 4363 1 129 11 27 4364 2702 24 957 20 42 239 33 702 766 4365 522 11 1982	2018-8-5	0	0	x	x	x	1	1
-4058353747450138233	-5696974613385926216	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 354 6 92 4366 20 48 1264 7 958 523 24 1529 1983 6 74 135 47 1077 8 4	2018-1-10	x	x	Santiago	Santiago Metropolitan Region	0	x	0
2090143212959821333	7742838847328622160	0 0 0 0 0 0 0 0 0 0 0 0 0 0 2703 1984 7 34 57 1 139 767 125 1265 6 5 79 214 3 10 13 18 215 48 135 7 74 235 8 4	2017-12-18	1	1	Bogota	Bogota	0	0	0
4574659566444417483	-1706219402989819116	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2704 35 1 9 1530 11 12 153	2017-12-17	0	0	x	x	x	0	0
-1188579276689871333	-7575743973860422458	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 492 244 603 959 15 1985 11 129 4	2018-8-6	x	x	x	x	x	x	0
7421123367173458269	-3745385372875888377	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 960 11 4367 4368 7 768 2705 252 4	2018-8-3	0	0	Mao	Valverde Province	0	0	0
-8536002645762409683	5118360433882067333	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2706 17 18 45 20 40	2017-12-12	1	0	x	x	x	0	1
3637369594484457422	-8585653144425765292	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 604 105 4369 16 2707 1 847 31 1078 57 4370 4 4	2018-8-3	x	x	Upata	Bolívar	0	x	0
-2343879945086647551	7178841846807235803	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2708 4371 4372 86 32 42 4373 96 1 4374 9 4	2018-1-13	1	1	Resistencia	Chaco Province	0	1	0
-4037250548126355793	5948439092131114359	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 28 1986 9 7 4375 4376 1531 4377 159 2709 2710 4378	2017-12-12	0	0	Mercedes	Soriano Department	0	0	1
8232044473224430157	-1121064933313983117	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 22 4379 460 1 2711 769 10 126 39 961 653 4380 4381	2017-12-31	1	1	Lima	Callao Region	0	1	0
-8518976762617538931	-3458192295235614686	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 605 1987 6 4382 6 5 770 3 4383 1988 20 312 1 2712 1 5 22 4	2018-1-3	x	x	x	x	1	x	0
7371792185965199255	-3259263323426508018	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1532 6 93 30 4384 1 16 9 79 2713 3 10 285 654 65 1989 1533 1534 31 3 441 461 1 1535 8 4	2017-12-12	x	x	Orlando	Florida	0	x	0
-2671174751920728003	-7941704414243450433	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 313 214 3 60 101 1 2714 148 4385 4386 606 6 57 1079 7 13 189 13 1079 171	2018-8-5	0	0	Viña del Mar	Valparaiso Region	0	1	0
1361750552130931304	421863167491495659	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 10 117 52 9 178 5 1990 13 29 132 13 422 16 9 83	2018-1-10	x	x	Seville	Andalusia	1	x	1
6617128966277979582	6896786178923363720	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4387 171 32 2715 493 62 30 21 113 4388 1 4389 409	2017-12-13	0	1	x	x	x	1	0
-8775337886383198958	-8457806976757482506	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 4390 4391 49 1266 49 20 208 11 172 33 48 135 7 5 74 11 12 300	2018-1-10	x	x	x	x	x	x	0
7972512709101123436	3931919863439683321	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 314 462 13 74 47 48 19 4392 5 74 7 12 48 20 18 227 2716 27 556 1 8 4	2018-1-10	0	0	Buenos Aires	Buenos Aires	0	1	0
-1175200075833732155	3040436004381749121	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 253 14 962 3 19 703 3 19 1991 64 35 1 9 46 18 3 17 45 13 16 4393	2017-12-14	0	1	Cayey	Cayey	0	0	0
-1138018809020682738	-4602037371155298190	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 23 25 1080 26 59	2017-12-19	0	1	Madrid	 Spain	1	0	1
5342108246795004601	-3096649570840143229	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 28 5 9 76 771 4394	2017-12-13	x	x	Chicago	Illinois	0	x	0
-6757283148448044507	-3417787835410608331	0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 15 158 1081 7 16 62 15 1081 179 10 44 113 2717 89 19 18 75 4395 2718 38 423 24 27 218 22	2017-12-18	0	0	x	x	x	1	0
4409367573874319024	7405558490031979273	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4396 7 2719 169 341 4397 4398 4399 3 23 25 9 141 410 4400	2017-12-12	0	1	Bogota	Bogota	0	0	1
-387585597625128997	-2664451334965842095	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 240 44 301 6 23 963 28 26	2018-1-11	x	x	Córdoba	Cordoba	0	x	1
6770928238235235144	3048870858721184283	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 219 442 369 2720 42 21 370 20 29 56 89 1536 254	2013-6-29	x	x	x	x	x	x	1
-4507417286583604741	-1144164927036730942	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 28 26 124 4401 96	2017-12-13	1	1	Canelones	Canelones Department	0	0	1
-2419630721378619261	-2518746755623732185	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 494 4402 49 115 10 209 1992 55 84 148 245 1537 49 20 3 63 119 109 607 607 4	2018-8-6	1	1	x	x	x	0	0
-6319124553349688046	7694017624799616671	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4403 1267 848 964 1 43 151 6 72 110 4 772 8 4	2018-7-30	x	x	x	x	x	x	0
-1800080398747342391	-7957164445591071102	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 94 3 274 965 7 17 2721 18 216 3 87 5 26 2722 704 705 7 17 4404 94 4	2018-1-2	0	1	Seville	Andalusia	1	1	0
-6864757975384862935	-5460417805862341376	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 166 4405 706 208 1 849 14 70 7 655 3 80 130 4406 371 1 114 372 24 16 656 8 4	2018-7-30	x	x	x	Nueva Esparta	0	x	1
-1243837681190482975	4537708162187409756	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4407 4408 495 175 1 4409 31 1538 6 133 524 4 4	2018-8-6	x	x	x	x	0	x	0
7061603164312022765	2847252852552100641	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 210 54 274 90 4410 7 17 223 143 171	2018-8-4	1	1	Mexico City	Mexico City	0	0	0
-8732500995847350982	-3346679440634404404	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 23 25 5 26 83 26 1 27 1539	2018-1-11	0	1	x	x	x	1	1
6639118488078695959	3156629350456027848	0 0 0 0 0 0 0 0 0 0 0 0 0 2 373 35 1 26 10 285 20 3 10 19 190 20 16 9 4411 11 53 392 7 19 4412 11 58 34 18 275	2018-1-13	0	0	x	x	0	1	0
