tid	uid	text	date	gender	age	city	state	country	ethnicity	label
-1185049339940485547	4149308855696923796	user user brawo ty daria kibic ma być na dobre i złe	2017-12-15	x	x	x	Lesser Poland Voivodeship	1	x	0
-8872930230589205502	4756326747970055695	user user super , polski premier składa kwiaty na grobach kolaborantów . ale doczekaliśmy czasów .	2018-2-17	0	0	x	x	x	0	0
7551884024024539484	-1891029395597084473	user user musi . innej drogi nie mamy .	2018-9-24	0	1	Bialystok	Podlaskie Voivodeship	1	0	0
-6327275497223818729	1483962902744798158	odrzut natychmiastowy , kwaśna mina , mam problem	2018-11-16	0	x	x	x	x	x	0
-4744443896691748719	-853612404174922601	jaki on był fajny xdd pamiętam , że spóźniłam się na jego pierwsze zajęcia i to sporo i za karę kazał mi usiąść w pierwszej ławce xd	2018-9-19	1	1	x	x	x	0	0
4750532433216928404	-8305065055084640059	user no nie ma u nas szczęścia 😉	2018-2-12	1	1	Warsaw	Masovian Voivodeship	1	0	0
-8826389221555160994	-853612404174922601	user dawno kogoś tak wrednego nie widziałam xd	2018-8-10	1	1	x	x	x	0	0
-9093570697003889266	-6883528428632957456	user user zaległości były , ale ważne czy były wezwania do zapłaty z których się klub nie wywiązał .	2018-6-14	1	1	x	x	x	1	0
-1726613474900408130	4756326747970055695	user user user gdzie jest user . brudziński jesteś kłamcą i marnym kutasem user	2018-11-11	0	0	x	x	x	0	1
-6786546856081213740	-6883528428632957456	user user no mam nadzieje ! ! :)	2015-9-1	1	1	x	x	x	1	0
4136575121628534586	4149308855696923796	user user może gustował w starszych paniach ;-)	2018-9-5	x	x	x	Lesser Poland Voivodeship	1	x	0
4103950601482987023	-8305065055084640059	user zostawiłam tam 3 lata temu " notatki na mankietach " . muszę się wrócić .	2017-4-29	1	1	Warsaw	Masovian Voivodeship	1	0	0
1500300716512636334	4149308855696923796	user oprawa do krzysia m . ps pinokio - " mogłeś być gangsterem a zostałeś 3 ligowym frajerem " 😀	2018-9-19	x	x	x	Lesser Poland Voivodeship	1	x	0
7524417159264657347	4756326747970055695	user user znowu będzie komunikat o polskich piratach drogowych w słowacji .	2018-10-10	0	0	x	x	x	0	0
-8291977053559462123	-6883528428632957456	user user o jakim zachowaniu " fer " mówisz skoro ukrywał się z tym że podpisał kontrakt z legią ? możesz rozwinąć ?	2016-1-28	1	1	x	x	x	1	0
-4126653974837765372	6803181416508891510	user user joanno ! po raz pierwszy się z panią zgadzam . 😁 😁 😁	2018-4-25	0	0	x	x	x	0	0
8659924563501300261	-1891029395597084473	monster block , monster block , monster block ... 😁	2018-9-29	0	1	Bialystok	Podlaskie Voivodeship	1	0	0
-7327024953910023823	4149308855696923796	user czyżby madryt brał przykład z warszawy ?	2017-10-1	x	x	x	Lesser Poland Voivodeship	1	x	0
-8804836436575370647	6803181416508891510	user user no to skończmy kurwa z tym wersalem w j ... ej szczujni	2018-11-14	0	0	x	x	x	0	1
-6530738616608725624	-1891029395597084473	user nie wiem , najczęściej grają na zmianę na prawym skrzydle .	2018-8-11	0	1	Bialystok	Podlaskie Voivodeship	1	0	0
-8117243989744149909	4756326747970055695	user no to pan i koledzy macie z głowy . przesrane tak reszta życia pod górkę .	2018-5-17	0	0	x	x	x	0	0
713683725111414039	-6883528428632957456	user a ja obstawiam , że pójdą bardziej w stronę tego , że może się powtórzyć sytuacja z meresińskim .	2017-7-25	1	1	x	x	x	1	0
-3727081426439968103	-853612404174922601	aaaaa kuba mi odpisał hehehehehe	2018-10-8	1	1	x	x	x	0	0
5457271542241818323	-1891029395597084473	asysta kacpra falona i 3:1 dla widzewa . witamy widzew w ii lidze . no i w sumie fajnie .	2018-6-16	0	1	Bialystok	Podlaskie Voivodeship	1	0	0
-8204492945758015255	-6883528428632957456	user gwizdali na niego ? bo nie oglądałem meczu :)	2016-2-14	1	1	x	x	x	1	0
-6714340153425318273	-6883528428632957456	user user ale może w końcu dojdzie do wniosku że skoro go klub już nie jara to lepiej go sprzedać i mieć po kłopocie	2016-7-4	1	1	x	x	x	1	0
-1358609601248318492	-853612404174922601	user user hej halo , o czym to jest bo mam na swojej liście i nie wiem czy warto ? ?	2018-8-5	1	1	x	x	x	0	0
8005868622493487446	-853612404174922601	rt user : dorosłe życie nie jest dla mnie	2018-10-19	1	1	x	x	x	0	0
8005868622493487446	-853612404174922601	rt user : dorosłe życie nie jest dla mnie	2018-10-19	1	1	x	x	x	0	0
-5921487079790822071	1483962902744798158	user cześć paderewski , część opalające się nogi	2018-8-4	0	x	x	x	x	x	0
1272387532746259109	-8305065055084640059	user user user uprowadź gumową kaczuszkę . zacznie negocjować .	2017-5-22	1	1	Warsaw	Masovian Voivodeship	1	0	0
9061420539016502368	-853612404174922601	user już wiem ze się nie dogadamy xd	2018-10-11	1	1	x	x	x	0	0
4038128502033304556	-8305065055084640059	user ale to w nowym przekładzie , jeszcze nie czytałam .	2018-2-3	1	1	Warsaw	Masovian Voivodeship	1	0	0
9173086783982648947	-1891029395597084473	user lahoza mi nigdy nie szkoda . wolę , jak na pierwszym planie są piłkarze , a nie sędzia :-)	2018-7-5	0	1	Bialystok	Podlaskie Voivodeship	1	0	0
-2955925581519630510	4756326747970055695	user user sprawdź chłopie w słowniku co oznacza słowo , którego używasz a potem się odzywaj .	2018-10-30	0	0	x	x	x	0	0
4563392049647572028	-6883528428632957456	user zmieńcie se nazwe na profilu na insta bo się nazywacie grzegorz ożóg ...	2017-5-8	1	1	x	x	x	1	0
6394519077684854715	6803181416508891510	hashtag 17 poseł halicki oburzony za bolka . naprawdè taki tępy czy tylko udaje idiotę ?	2018-4-22	0	0	x	x	x	0	1
410559874587489322	-853612404174922601	rt user : „ ta aktorka ma 20 lat ? ! ? ! jaka stara ! ! ” chyba musimy się już do grobu pakować roczniku 98 😂 👌 🏻	2018-8-25	1	1	x	x	x	0	0
410559874587489322	-853612404174922601	rt user : „ ta aktorka ma 20 lat ? ! ? ! jaka stara ! ! ” chyba musimy się już do grobu pakować roczniku 98 😂 👌 🏻	2018-8-25	1	1	x	x	x	0	0
508496243278581665	1483962902744798158	ahnherr der schtwätzer wykonawcy von spar url	2018-3-29	0	x	x	x	x	x	0
2007556694753917112	1483962902744798158	user user user bierze cie cie pod chuj a ty sie produkujesz	2018-9-19	0	x	x	x	x	x	0
-6398896444719803155	4756326747970055695	user user user jak narazie to masz przywidzenia co nie zmienia faktu że cały czas jesteś idiotą .	2018-8-29	0	0	x	x	x	0	1
-4210689747187725621	4149308855696923796	user kiedy do licznika dojdą bilety z fan clubow ?	2018-9-12	x	x	x	Lesser Poland Voivodeship	1	x	0
4090375252454934977	-6883528428632957456	user a kto prowadzi zespół ? będzie podany skład z tego meczu ?	2018-7-14	1	1	x	x	x	1	0
4377194385712805298	1483962902744798158	user główny powód to brak kasy , trzeba dać bogatym 500 + , 300 + i być bez godności i honoru	2018-5-19	0	x	x	x	x	x	0
6298145826097352097	-853612404174922601	zrobiłam takie cv że ohohohoho	2018-10-5	1	1	x	x	x	0	0
-6633062470936273968	4756326747970055695	rt user : świętować uchwalenie konstytucji 3 maja i łamać konstytucję rp obecnie obowiązującą ? ! hashtag - dzień hipokryzji .	2018-5-3	0	0	x	x	x	0	0
-6633062470936273968	4756326747970055695	rt user : świętować uchwalenie konstytucji 3 maja i łamać konstytucję rp obecnie obowiązującą ? ! hashtag - dzień hipokryzji .	2018-5-3	0	0	x	x	x	0	0
-7465992972689200123	-6883528428632957456	user user nie gra bo jest jovanović i guilherme	2017-2-17	1	1	x	x	x	1	0
3845587129999820943	1483962902744798158	user o tej godz . sporty szanuj ciało	2018-6-2	0	x	x	x	x	x	0
-4752644541440610198	1483962902744798158	nikt nigdy nie rozsiewał takiego smrodu jak user	2018-5-28	0	x	x	x	x	x	1
-6141585239650399033	-853612404174922601	nikt cię tak dobrze nie ubierze jak matka chrzestna dziecino	2018-9-2	1	1	x	x	x	0	0
-740293882053342317	4756326747970055695	user user nikt tutaj nie chce plagiaciarzy kopiujących brytyjskich pisarzy .	2018-5-11	0	0	x	x	x	0	0
2977966676270427483	1483962902744798158	user a ksiądz co bierze 12 tyś za spowiedź przez tel ?	2018-5-3	0	x	x	x	x	x	0
-8793380491399310910	4756326747970055695	user koń też ma dużą głowę . tylko wydaje mi się , że jest bardziej inteligentny niż karczewski	2018-7-26	0	0	x	x	x	0	0
4122067236913351695	1483962902744798158	user pod i górę pod wiatr to więcej niż k2	2018-6-22	0	x	x	x	x	x	0
813167765120330534	-1891029395597084473	user sędziowie var nie decydują o karnych 😉	2018-8-29	0	1	Bialystok	Podlaskie Voivodeship	1	0	0
-1606722507173890124	1483962902744798158	jakiś program na tvn , nauka jazdy za kierownicą babcia śpiewa " jadą jadą jadą świry jadą " jadą jadą jadą świry jadą "	2018-5-1	0	x	x	x	x	x	0
2215004529685323119	-6883528428632957456	user ta obecna zary larsson czy pitbulla z ostatnich mś nie były złe :)	2016-6-25	1	1	x	x	x	1	0
-6828739095738755075	-1891029395597084473	( 280 znaków w jednym zdaniu 🙈 )	2018-10-12	0	1	Bialystok	Podlaskie Voivodeship	1	0	0
8521450569125352970	1483962902744798158	user po wahaniach wagi kwacha wznoszę że to może być kapuścianka	2018-5-28	0	x	x	x	x	x	0
-8512357656132240984	-6883528428632957456	user user w tym sezonie razem z pucharem 12 meczy i 1 gol . mójta więcej strzelił . sorry patrze w statystyki .	2017-2-7	1	1	x	x	x	1	0
